Name,Category,Location,Best Time to Visit,Activities,Average Cost,Ratings
Taj Mahal,historical,agra,October-March,sightseeing,mid-range,4.8
Manali,hill station,himachal pradesh,March-June,trekking,budget,4.5
Goa Beach,beach,goa,November-February,boating,luxury,4.7
Shimla,hill station,himachal pradesh,,sightseeing toy-train,moderate,
Nainital,hill station,uttarakhand,,boating trekking,moderate,
Mussoorie,hill station,uttarakhand,,trekking cable-car,moderate,
Darjeeling,hill station,west bengal,,toy-train tea-gardens,moderate,
Munnar,hill station,kerala,,tea-estates wildlife,moderate,
Ooty,hill station,tamil nadu,,boating gardens,moderate,
Gangtok,hill station,sikkim,,monasteries shopping,moderate,
Auli,hill station,uttarakhand,,skiing snow-trekking,expensive,
Mount Abu,hill station,rajasthan,,temples sunset-point,moderate,
Goa,beach,goa,,beaches nightlife water-sports,moderate,
Pondicherry,beach,tamil nadu,,beaches french-colony,moderate,
Varkala,beach,kerala,,beach yoga spa,budget,
Kovalam,beach,kerala,,beach surfing,budget,
Andaman & Nicobar Islands,beach,andaman,,islands scuba-diving,expensive,
Gokarna,beach,karnataka,,beach temples,budget,
Diu,beach,daman and diu,,beaches forts,budget,
Alibaug,beach,maharashtra,,forts beaches,budget,
Jaipur,heritage,rajasthan,,forts palaces shopping,moderate,
Udaipur,heritage,rajasthan,,lakes palaces shopping,moderate,
Jaisalmer,heritage,rajasthan,,desert safari forts,moderate,
Agra,heritage,uttar pradesh,,taj-mahal monuments,moderate,
Delhi,heritage,delhi,,monuments museums shopping,moderate,
Varanasi,spiritual,uttar pradesh,,temples ghats,moderate,
Khajuraho,heritage,madhya pradesh,,temples carvings,moderate,
Hampi,heritage,karnataka,,ruins temples,moderate,
Mysuru,heritage,karnataka,,palaces gardens,moderate,
Orchha,heritage,madhya pradesh,,forts temples,budget,
Rishikesh,spiritual,uttarakhand,,yoga rafting temples,budget,
Haridwar,spiritual,uttarakhand,,ghats aarti temples,budget,
Tirupati,spiritual,andhra pradesh,,temples pilgrimage,budget,
Amritsar,spiritual,punjab,,golden-temple culture,budget,
Bodh Gaya,spiritual,bihar,,monasteries temples,budget,
Kedarnath,spiritual,uttarakhand,,trekking temples,budget,
Badrinath,spiritual,uttarakhand,,temples nature,budget,
Madurai,spiritual,tamil nadu,,temples shopping,budget,
Jim Corbett,wildlife,uttarakhand,,safari nature,budget,
Ranthambore,wildlife,rajasthan,,safari tigers,budget,
Kaziranga,wildlife,assam,,rhinos safari,moderate,
Gir National Park,wildlife,gujarat,,lions safari,moderate,
Sundarbans,wildlife,west bengal,,mangroves tigers,moderate,
Periyar Wildlife Sanctuary,wildlife,kerala,,safari boating,moderate,
Mumbai,urban,maharashtra,,citylife beaches shopping,expensive,
Bangalore,urban,karnataka,,parks tech-culture,moderate,
Hyderabad,urban,telangana,,heritage food shopping,moderate,
Chennai,urban,tamil nadu,,beaches temples,moderate,
Pune,urban,maharashtra,,culture trekking,moderate,
Ahmedabad,urban,gujarat,,heritage food,budget,
